short_name,full_name,country
Leon Pharma,Leon Pharmaceuticals Ltd.,Bangladesh
Lexicon Pharma,Lexicon Pharma,Bangladesh
Libra Infusions,Libra Infusions Ltd.,Bangladesh
Libra Pharma,Libra Pharmaceuticls Ltd.,Bangladesh
Maks Drug,Maks Drug Ltd.,Bangladesh
Marie Stopes,Marie Stopes Bangladesh,Bangladesh
Marker Pharma,Marker Pharma Ltd.,Bangladesh
Marksman Pharma,Marksman Pharmaceuticals Ltd.,Bangladesh
Medicon Pharma,Medicon Pharmaceuticals Ltd.,Bangladesh
Medimet Pharma,Medimet Pharmaceuticals Ltd.,Bangladesh
MedRx Life Science,MedRx Life Science Ltd.,Bangladesh
MGH Healthcare,MGH Healthcare Ltd.,Bangladesh
Microlife Corporation,Microlife Corporation,Bangladesh
MicroMed,MicroMed,Bangladesh
Millat Pharma,Millat Pharmaceuticals Ltd.,Bangladesh
Modern Pharma,Modern Pharmaceuticals Ltd.,Bangladesh
Momotaz Pharma,Momotaz Pharmaceuticals Ltd.,Bangladesh
Monicopharma,Monicopharma Ltd.,Bangladesh
MST Pharma,MST Pharma,Bangladesh
Mundipharma,Mundipharma (BD) Pvt. Ltd.,Bangladesh
Mystic Pharma,Mystic Pharmaceuticals Ltd.,Bangladesh
Naafco Pharma,Naafco Pharma Ltd.,Bangladesh
National Drug Co.,National Drug Co. Ltd.,Bangladesh
Navana Pharma,Navana Pharmaceuticals Ltd.,Bangladesh
NEMUS Pharma,NEMUS Pharmaceutical Pvt. Ltd.,Bangladesh
Nevian Lifescience,Nevian Lifescience PLC.,Bangladesh
Nipa Pharma,Nipa Pharmaceuticals Ltd.,Bangladesh
NIPRO,NIPRO,Bangladesh
NIPRO JMI Pharma,NIPRO JMI Pharma Ltd.,Bangladesh
Novatek Pharma,Novatek Pharmaceuticals Ltd.,Bangladesh
Novelta Bestway Pharma,Novelta Bestway Pharma Ltd.,Bangladesh
Novo Healthcare,Novo Healthcare and Pharma Ltd.,Bangladesh
Novo Nordisk Pharma,Novo Nordisk Pharma (Pvt.) Ltd.,Bangladesh
Novus Pharma,Novus Pharmaceuticals Ltd.,Bangladesh
Nutrilife Pharma,Nutrilife Pharma,Bangladesh
Nuvista Pharma,Nuvista Pharma Ltd.,Bangladesh
One Pharma,One Pharma Ltd.,Bangladesh
Opsonin Herbal & Nutraceuticals,Opsonin Herbal & Nutraceuticals Ltd.,Bangladesh
Opsonin Pharma,Opsonin Pharma Ltd.,Bangladesh
Orion Infusion,Orion Infusion Ltd.,Bangladesh
Orion Pharma,Orion Pharma Ltd.,Bangladesh
OSL Pharma,OSL Pharma Ltd.,Bangladesh
Oyster Pharma,Oyster Pharmaceuticals Ltd.,Bangladesh
Pacific Pharma,Pacific Pharmaceuticals Ltd.,Bangladesh
Peoples Pharma,Peoples Pharma Ltd.,Bangladesh
Pfizer,Pfizer,Bangladesh
Pharmacil,Pharmacil Ltd.,Bangladesh
Pharmadesh Laboratories,Pharmadesh Laboratories Ltd.,Bangladesh
Pharmasia,Pharmasia Ltd.,Bangladesh
Pharmik Laboratories,Pharmik Laboratories Ltd.,Bangladesh
Physic pharma,Physic pharmaceuticals ltd.,Bangladesh
Popular Pharma,Popular Pharmaceuticals Ltd.,Bangladesh
Premier Pharma,Premier Pharmaceuticals Ltd.,Bangladesh
Prime Pharma,Prime Pharmaceuticals Ltd.,Bangladesh
Pristine Pharma,Pristine Pharmaceuticals Ltd.,Bangladesh
